563,0.563,316233.0,97729.0,157892.0,0.618961061992,269,1110.93289924,173.586145648,280.447602131,0.618961061992
573,0.573,316233.0,101015.0,171246.0,0.589882391414,266,1772.02033329,176.291448517,298.858638743,0.589882391414
587,0.587,316233.0,104612.0,166733.0,0.62742228593,319,4112.4939115,178.214650767,284.042589438,0.62742228593
613,0.613,316233.0,114164.0,162661.0,0.701852318626,312,2723.89136076,186.23817292,265.352365416,0.701852318626
586,0.586,316233.0,105456.0,161303.0,0.653775813221,331,5552.88626719,179.959044369,275.26109215,0.653775813221
582,0.582,316233.0,105163.0,164647.0,0.638717984537,325,5553.68273091,180.692439863,282.89862543,0.638717984537
565,0.565,316233.0,98451.0,163892.0,0.600706562858,258,1775.25219059,174.249557522,290.074336283,0.600706562858
546,0.546,316233.0,92877.0,163477.0,0.568134966998,225,1409.17487025,170.104395604,299.408424908,0.568134966998
581,0.581,316233.0,102619.0,154792.0,0.662947697555,329,5950.65423965,176.624784854,266.423407917,0.662947697555
605,0.605,316233.0,113714.0,165833.0,0.685713941134,333,5205.41859961,187.957024793,274.104132231,0.685713941134
547,0.547,316233.0,91324.0,161820.0,0.56435545668,198,897.070700169,166.954296161,295.831809872,0.56435545668
582,0.582,316233.0,102049.0,155597.0,0.655854547324,289,1473.94800043,175.341924399,267.348797251,0.655854547324
535,0.535,316233.0,90056.0,153137.0,0.58807473047,248,1072.28812289,168.328971963,286.237383178,0.58807473047
562,0.562,316233.0,97633.0,158775.0,0.614914186742,291,2385.15327716,173.724199288,282.517793594,0.614914186742
603,0.603,316233.0,110574.0,156867.0,0.704890129855,316,2648.74110723,183.373134328,260.144278607,0.704890129855
553,0.553,316233.0,93687.0,167254.0,0.560148038313,235,1022.48982215,169.415913201,302.448462929,0.560148038313
519,0.519,316233.0,83538.0,153888.0,0.542849344978,168,485.045132399,160.959537572,296.50867052,0.542849344978
576,0.576,316233.0,101607.0,159606.0,0.636611405586,317,4798.05465317,176.401041667,277.09375,0.636611405586
603,0.603,316233.0,111119.0,171031.0,0.64970093141,330,4460.66824484,184.27694859,283.633499171,0.64970093141
625,0.625,316233.0,118908.0,162610.0,0.731246540803,312,5127.86510515,190.2528,260.176,0.731246540803
613,0.613,316233.0,115463.0,166920.0,0.691726575605,326,5788.40657997,188.35725938,272.300163132,0.691726575605
576,0.576,316233.0,100083.0,156968.0,0.637601294531,307,2645.34872937,173.755208333,272.513888889,0.637601294531
607,0.607,316233.0,112287.0,167681.0,0.669646531211,344,4747.05465078,184.986820428,276.245469522,0.669646531211
614,0.614,316233.0,114562.0,159658.0,0.71754625512,340,5936.2856698,186.583061889,260.029315961,0.71754625512
565,0.565,316233.0,98037.0,159225.0,0.615713612812,276,2632.44713473,173.516814159,281.814159292,0.615713612812
566,0.566,316233.0,99994.0,165280.0,0.604997579864,263,1597.31456065,176.667844523,292.014134276,0.604997579864
563,0.563,316233.0,97023.0,157007.0,0.61795333966,274,2984.45136118,172.332149201,278.875666075,0.61795333966
546,0.546,316233.0,90437.0,159130.0,0.568321498146,207,453.350272894,165.635531136,291.446886447,0.568321498146
582,0.582,316233.0,105681.0,159169.0,0.663954664539,345,5273.26938105,181.582474227,273.486254296,0.663954664539
582,0.582,316233.0,103198.0,154832.0,0.666515965692,308,3439.83664036,177.316151203,266.034364261,0.666515965692
540,0.54,316233.0,92086.0,158563.0,0.580753391396,241,1291.97518873,170.52962963,293.635185185,0.580753391396
590,0.59,316233.0,107254.0,165243.0,0.649068341775,323,4091.69693303,181.786440678,280.072881356,0.649068341775
598,0.598,316233.0,108542.0,154937.0,0.70055570974,330,4043.75865507,181.508361204,259.091973244,0.70055570974
593,0.593,316233.0,108177.0,162788.0,0.664526869302,324,4300.72177792,182.423271501,274.516020236,0.664526869302
629,0.629,316233.0,119922.0,163581.0,0.733104700424,329,8147.55007458,190.655007949,260.06518283,0.733104700424
613,0.613,316233.0,113111.0,172928.0,0.654093032939,332,6152.05543494,184.520391517,282.101141925,0.654093032939
605,0.605,316233.0,112245.0,160087.0,0.701149999688,340,8101.28529859,185.52892562,264.60661157,0.701149999688
605,0.605,316233.0,112052.0,164097.0,0.682840027545,343,8746.73269534,185.209917355,271.234710744,0.682840027545
620,0.62,316233.0,116081.0,159018.0,0.729986542404,323,6408.12806988,187.227419355,256.480645161,0.729986542404
616,0.616,316233.0,115061.0,162873.0,0.706446126737,326,3100.216573,186.787337662,264.404220779,0.706446126737
581,0.581,316233.0,104399.0,164444.0,0.634860499623,316,4168.57896066,179.688468158,283.036144578,0.634860499623
603,0.603,316233.0,111479.0,172605.0,0.64586193911,337,7894.78921223,184.873963516,286.243781095,0.64586193911
574,0.574,316233.0,100525.0,166951.0,0.60212277854,281,1969.03990149,175.130662021,290.855400697,0.60212277854
605,0.605,316233.0,113819.0,159174.0,0.715060248533,327,8213.8797555,188.130578512,263.097520661,0.715060248533
586,0.586,316233.0,105594.0,168584.0,0.626358373274,322,3807.23119998,180.194539249,287.686006826,0.626358373274
608,0.608,316233.0,112726.0,172061.0,0.655151370735,331,4670.07626867,185.404605263,282.995065789,0.655151370735
621,0.621,316233.0,118520.0,168870.0,0.701841653343,348,8374.39233828,190.853462158,271.93236715,0.701841653343
617,0.617,316233.0,116453.0,162416.0,0.717004482317,338,4959.63054538,188.740680713,263.235008104,0.717004482317
616,0.616,316233.0,116182.0,157368.0,0.738282242896,323,4726.15146232,188.607142857,255.467532468,0.738282242896
570,0.57,316233.0,99401.0,159398.0,0.623602554612,280,3289.58180904,174.387719298,279.645614035,0.623602554612
